key,cutoff,test_start,test_end,n,bau2_level_anchored_mape_pct,bau2_e2026_mape_pct,candidate_id,improvement_pct
population,2018,2019,2025,7,0.7410535200379569,0.44254666693347633,73,40.28141625846282
industry_per_capita,2018,2019,2025,7,1.355586826655344,1.146786943503745,73,15.402914741121633
food_per_capita,2018,2019,2024,6,4.448677240168595,0.5352916958242759,73,87.96739644335291
pollution_pressure,2018,2019,2024,6,7.34612660356317,6.612181271583291,73,9.99091591511486
human_welfare,2018,2019,2023,5,0.6918373603671035,0.6232449340061587,73,9.914530537140735
