key,obs_start,obs_end,n,historical_mape_pct,historical_bias_pct
population,1960,2025,66,3.9928779095364906,3.9928779095364906
industry_per_capita,1992,2025,34,14.937241476283795,14.937241476283795
food_per_capita,1961,2024,64,7.005760432822278,-2.1090383536270454
pollution_pressure,1970,2024,55,17.732235871065445,-17.653923116790498
human_welfare,1990,2023,34,1.6530330785047422,1.3032877218673447
