parameter,model_name,prior_lower,prior_upper,accepted_min,accepted_median,accepted_max,accepted_range_fraction_of_prior,weakly_identified
resources,initial nonrenewable resources,1500000000000.0,3500000000000.0,1524129472503.1409,2216513181185.4805,3373062283798.921,0.9244664056478901,True
industrial_output_ratio,industrial capital output ratio 1,2.55,3.45,2.6812953955600944,3.2791480788745373,3.4204334342767906,0.8212644874629954,True
industrial_capital_life,average life of industrial capital 1,11.0,18.0,11.582262518597872,15.987786549786511,17.89539496870921,0.9018760643016195,True
land_yield,land yield factor 1,0.82,1.18,0.8623355938219728,0.9525463165524801,1.085227641676636,0.6191445773740645,True
pollution_generation,persistent pollution generation factor 1,0.65,1.35,0.7135368589294719,0.9988224220085454,1.151177083387906,0.6252003206549058,True
pollution_assimilation,assimilation half life in 1970,1.0,2.3,1.0840874432712022,1.383981406879784,2.0146889616201813,0.7158473218069071,True
family_size,desired completed family size normal,3.1,4.4,3.7786302220657113,3.9188458829807855,4.3605483920606325,0.4476293615345547,False
