commodity,production_2025_tonnes,production_2025_estimated,production_cagr_2020_2025_pct,named_country_coverage_pct,production_hhi_lower_bound,production_hhi_upper_bound,largest_named_producer,largest_named_producer_share_pct,reported_reserves_2025_tonnes,reserve_status,reserve_to_annual_output_ratio
cobalt,310000.0,True,16.900042725280873,98.54838709677419,0.5720048907388138,0.5722156087408949,Congo (Kinshasa),74.19354838709677,12000000.0,reported,38.70967741935484
copper,23000000.0,True,2.228531706191883,87.01304347826087,0.1037229281663516,0.12058903213610586,Chile,23.043478260869566,980000000.0,reported,42.608695652173914
graphite,1800000.0,True,13.255441063793217,97.38222222222224,0.6114050577777776,0.6120903338271604,China,77.77777777777779,310000000.0,reported,172.22222222222223
lithium,290000.0,True,28.584556081898803,99.44137931034483,0.20238839952437576,0.20241960523186683,Australia,31.724137931034484,37000000.0,reported,127.58620689655173
nickel,3900000.0,True,9.213965681148295,92.17948717948717,0.45585305719921104,0.4619690992767916,Indonesia,66.66666666666666,140000000.0,reported_lower_bound,35.8974358974359
rare_earths,390000.0,True,10.197228772148016,99.68205128205129,0.5054423708086784,0.5054524799474029,China,69.23076923076923,,excluded_data_release_vs_report_v1_3_conflict,
